idPalavra;palavra;descricao;imagem;
NULL;GPU;GPU é um processador com menos núcleos, mas que trabalha de maneira dedicada a atividades de vídeo dentro do computador. A sigla remete ao nome Unidade de Processamento Gráfico e sua função é processar as informações gráficas de uma máquina. Ela também diminui a sobrecarga da CPU e melhora a troca de dados entre as duas peças.;gpu;https://www.tecmundo.com.br/hardware/1127-o-que-e-gpu-.htm
NULL;Hacker;Hackers são pessoas com um conhecimento profundo de informática e computação que trabalham desenvolvendo e modificando softwares e hardwares de computadores, não necessariamente para cometer algum crime. Eles também desenvolvem novas funcionalidades no que diz respeito a sistemas de informática.;hacker;https://brasilescola.uol.com.br/informatica/o-que-e-hacker.htm
NULL;hardware;É a parte física do computador, ou seja, peças e equipamentos que fazem o computador funcionar. O termo também se refere ao conjunto de equipamentos acoplados em produtos que necessitam de gerenciamento computacional.;hardware;https://tecnoblog.net/responde/o-que-e-hardware/
NULL;HD;HD (Hard Disk) ou HDD (Hard Disk Drive) — é o dispositivo de armazenamento de dados mais utilizado nos computadores. Esse tipo de equipamento guarda desde os seus arquivos pessoais até informações utilizadas exclusivamente pelo sistema operacional.;hd;https://www.infowester.com/hd.php
NULL;Headset;Os headsets são fones de ouvido que contam com um arco envolvendo a cabeça, os fones de ouvido e um microfone;headset;https://canaltech.com.br/produtos/O-que-e-headset/
NULL;Hiperlink;Uma hiperligação, um liame/ligame, ou simplesmente uma ligação (em inglês, hyperlink e link), é uma referência dentro de um documento em hipertexto a outras partes desse documento ou a outro documento.;hiperlink;https://canaltech.com.br/software/hyperlink-o-que-e-como-criar/
NULL;Inteligencia Artificial;Em termos mais simples, IA que significa inteligência artificial refere-se a sistemas ou máquinas que mimetizam a inteligência humana para executar tarefas e podem se aprimorar iterativamente com base nas informações que eles coletam.;inteligencia artificial;https://tecnoblog.net/responde/o-que-e-inteligencia-artificial/
NULL;Internet;A internet é o conjunto de redes de computadores que, espalhados por todas as regiões do planeta, conseguem trocar dados e mensagens utilizando um protocolo comum.;internet;https://www.significados.com.br/internet/
NULL;Ip;"Endereço IP é um endereço exclusivo que identifica um dispositivo na Internet ou em uma rede local. IP vem do inglês ""Internet Protocol"" (protocolo de rede) que consiste em um conjunto de regras que regem o formato de dados enviados pela Internet ou por uma rede local.";ip;https://www.kaspersky.com.br/resource-center/definitions/what-is-an-ip-address
NULL;Joystick;Um manípulo eletrónico é um periférico de computador e videojogos pessoal ou um dispositivo geral de controle, que consiste numa vara vertical, na qual os pivôs se aproximam de uma extremidade e transmitem o seu ângulo em duas ou três dimensões a um computador.;joystick;https://techlib.wiki/definition/joystick.html
NULL;Kilobyte;Um quilobit é uma unidade quantidade de dados igual a 1.000 bits.;kilobyte;https://techlib.wiki/definition/kilobyte.html
NULL;Linguagem de Programação;É uma linguagem formal que funciona por meio de uma série de instruções, símbolos, palavras-chave, regras semânticas e sintáticas. A linguagem de programação permite que um programador crie programas a partir de um conjunto de ordens, ações consecutivas, dados e algoritmos.;linguagem de programação;https://rockcontent.com/br/blog/linguagem-de-programacao/
NULL;Link;No âmbito da informática, a palavra link pode significar hiperligação, ou seja, uma palavra, texto ou imagem que quando é clicada pelo usuário, o encaminha para outra página na internet, que pode conter outros textos ou imagens.;link;https://sites.google.com/site/sitesrecord/o-que-e-um-link
NULL;login;Login é um termo em inglês que significa ter acesso a algo no meio digital, como uma conta de e-mail, um site, um serviço ou mesmo aparelhos como computadores e smartphones. O seu login, geralmente aliado a uma senha, é a sua identidade de acesso.;login;https://www.tecmundo.com.br/internet/214909-voce-sabe-login-descubra.htm
NULL;logoff;Refere-se a terminar o uso de um sistema computacional, removendo a senha do usuário. Trata-se de um reiniciar rápido, onde todos os programas são fechados e posteriormente é possível iniciar a área de trabalho com outro usuário, podendo ter uma melhor utilização.;logoff;https://afontedeinformacao.com/biblioteca/artigo/read/24373-o-que-e-o-logoff
